item_id,museum,image_url,proposal_status,match_score,match_rule,candidate_count,top_candidate_count,candidate_paths,proposed_image_local_path,proposed_filename,proposed_sha256,proposed_image_width,proposed_image_height,proposal_version
MET:307941,MET,"https://images.metmuseum.org/CRDImages/ao/original/DP18687_28.171.4,1.jpg",unmatched,0,,0,0,,,,,0,0,image_local_path_proposals_v1
MET:307943,MET,https://images.metmuseum.org/CRDImages/ao/original/DP101351.jpg,unmatched,0,,0,0,,,,,0,0,image_local_path_proposals_v1
MET:307944,MET,https://images.metmuseum.org/CRDImages/ao/original/LC-28_171_7_TMSa.jpg,unmatched,0,,0,0,,,,,0,0,image_local_path_proposals_v1
MET:307950,MET,https://images.metmuseum.org/CRDImages/ao/original/DP233569.jpg,unmatched,0,,0,0,,,,,0,0,image_local_path_proposals_v1
MET:307953,MET,https://images.metmuseum.org/CRDImages/ao/original/DP18444.jpg,unmatched,0,,0,0,,,,,0,0,image_local_path_proposals_v1
MET:307959,MET,https://images.metmuseum.org/CRDImages/ao/original/29.146.8.jpg,unmatched,0,,0,0,,,,,0,0,image_local_path_proposals_v1
MET:307960,MET,https://images.metmuseum.org/CRDImages/ao/original/29.146.9.jpg,unmatched,0,,0,0,,,,,0,0,image_local_path_proposals_v1
MET:307961,MET,https://images.metmuseum.org/CRDImages/ao/original/75153.jpg,unmatched,0,,0,0,,,,,0,0,image_local_path_proposals_v1
MET:307962,MET,https://images.metmuseum.org/CRDImages/ao/original/29.146.11.jpg,unmatched,0,,0,0,,,,,0,0,image_local_path_proposals_v1
MET:307963,MET,https://images.metmuseum.org/CRDImages/ao/original/DP18609.jpg,unmatched,0,,0,0,,,,,0,0,image_local_path_proposals_v1
MET:307964,MET,https://images.metmuseum.org/CRDImages/ao/original/DP18634.jpg,unmatched,0,,0,0,,,,,0,0,image_local_path_proposals_v1
MET:307965,MET,https://images.metmuseum.org/CRDImages/ao/original/DP18634.jpg,unmatched,0,,0,0,,,,,0,0,image_local_path_proposals_v1
MET:307966,MET,https://images.metmuseum.org/CRDImages/ao/original/29.146.14 -15.jpg,unmatched,0,,0,0,,,,,0,0,image_local_path_proposals_v1
MET:307967,MET,https://images.metmuseum.org/CRDImages/ao/original/29.146.14 -15.jpg,unmatched,0,,0,0,,,,,0,0,image_local_path_proposals_v1
MET:307968,MET,https://images.metmuseum.org/CRDImages/ao/original/29.146.16.jpg,unmatched,0,,0,0,,,,,0,0,image_local_path_proposals_v1
MET:307972,MET,https://images.metmuseum.org/CRDImages/ao/original/DP18617.jpg,unmatched,0,,0,0,,,,,0,0,image_local_path_proposals_v1
MET:307975,MET,https://images.metmuseum.org/CRDImages/ao/original/DT829.jpg,unmatched,0,,0,0,,,,,0,0,image_local_path_proposals_v1
MET:307991,MET,https://images.metmuseum.org/CRDImages/ao/original/77991.jpg,unmatched,0,,0,0,,,,,0,0,image_local_path_proposals_v1
MET:308015,MET,https://images.metmuseum.org/CRDImages/ao/original/DP18635.jpg,unmatched,0,,0,0,,,,,0,0,image_local_path_proposals_v1
MET:308016,MET,https://images.metmuseum.org/CRDImages/ao/original/DP18620.jpg,unmatched,0,,0,0,,,,,0,0,image_local_path_proposals_v1
MET:308017,MET,https://images.metmuseum.org/CRDImages/ao/original/DP18640.jpg,unmatched,0,,0,0,,,,,0,0,image_local_path_proposals_v1
MET:308021,MET,https://images.metmuseum.org/CRDImages/ao/original/DP18587_32.32.8.jpg,unmatched,0,,0,0,,,,,0,0,image_local_path_proposals_v1
MET:308022,MET,https://images.metmuseum.org/CRDImages/ao/original/DP-26534-001.jpg,unmatched,0,,0,0,,,,,0,0,image_local_path_proposals_v1
MET:308023,MET,https://images.metmuseum.org/CRDImages/ao/original/DP18585_32.32.10.jpg,unmatched,0,,0,0,,,,,0,0,image_local_path_proposals_v1
MET:308024,MET,https://images.metmuseum.org/CRDImages/ao/original/DP-26535-001.jpg,unmatched,0,,0,0,,,,,0,0,image_local_path_proposals_v1
MET:308025,MET,https://images.metmuseum.org/CRDImages/ao/original/DP18593.jpg,unmatched,0,,0,0,,,,,0,0,image_local_path_proposals_v1
MET:308026,MET,https://images.metmuseum.org/CRDImages/ao/original/DP18586_32.32.13.jpg,unmatched,0,,0,0,,,,,0,0,image_local_path_proposals_v1
MET:308027,MET,https://images.metmuseum.org/CRDImages/ao/original/DP18600.jpg,unmatched,0,,0,0,,,,,0,0,image_local_path_proposals_v1
MET:308028,MET,https://images.metmuseum.org/CRDImages/ao/original/DP18595.jpg,unmatched,0,,0,0,,,,,0,0,image_local_path_proposals_v1
